item_category_name,item_category_id
PC - _а_ни____/_а__ники,0
_к_е___а__ - PS2,1
_к_е___а__ - PS3,2
_к_е___а__ - PS4,3
_к_е___а__ - PSP,4
_к_е___а__ - PSVita,5
_к_е___а__ - XBOX 360,6
_к_е___а__ - XBOX ONE,7
_иле__ (Ци__а),8
_о__авка _ова_а,9
_г_ов_е кон_оли - PS2,10
_г_ов_е кон_оли - PS3,11
_г_ов_е кон_оли - PS4,12
_г_ов_е кон_оли - PSP,13
_г_ов_е кон_оли - PSVita,14
_г_ов_е кон_оли - XBOX 360,15
_г_ов_е кон_оли - XBOX ONE,16
_г_ов_е кон_оли - __о_ие,17
_г__ - PS2,18
_г__ - PS3,19
_г__ - PS4,20
_г__ - PSP,21
_г__ - PSVita,22
_г__ - XBOX 360,23
_г__ - XBOX ONE,24
_г__ - _к_е___а__ дл_ иг_,25
_г__ Android - Ци__а,26
_г__ MAC - Ци__а,27
_г__ PC - _ополни_ел_н_е издани_,28
_г__ PC - _оллек_ионн_е издани_,29
_г__ PC - С_анда__н_е издани_,30
_г__ PC - Ци__а,31
"_а___ опла__ (_ино, __з_ка, _г__)",32
_а___ опла__ - Live!,33
_а___ опла__ - Live! (Ци__а),34
_а___ опла__ - PSN,35
_а___ опла__ - Windows (Ци__а),36
_ино - Blu-Ray,37
_ино - Blu-Ray 3D,38
_ино - Blu-Ray 4K,39
_ино - DVD,40
_ино - _оллек_ионное,41
"_ниги - ___б_ки, _н_иклопедии",42
_ниги - __диокниги,43
_ниги - __диокниги (Ци__а),44
_ниги - __диокниги 1С,45
_ниги - _изне_ ли_е_а___а,46
"_ниги - _омик__, манга",47
_ниги - _омп___е_на_ ли_е_а___а,48
_ниги - _е_оди_е_кие ма_е_иал_ 1С,49
_ниги - __к___ки,50
_ниги - _ознава_ел_на_ ли_е_а___а,51
_ниги - ___еводи_ели,52
_ниги - Х_доже__венна_ ли_е_а___а,53
_ниги - Ци__а,54
__з_ка - CD локал_ного п_оизвод__ва,55
__з_ка - CD _и_менного п_оизвод__ва,56
__з_ка - MP3,57
__з_ка - _инил,58
__з_ка - __з_кал_ное видео,59
__з_ка - _ода_о_н_е издани_,60
_ода_ки - ___иб__ика,61
"_ода_ки - _адже__, _обо__, _по__",62
_ода_ки - __гкие иг___ки,63
_ода_ки - _а__ол_н_е иг__,64
_ода_ки - _а__ол_н_е иг__ (компак_н_е),65
"_ода_ки - __к___ки, наклейки",66
_ода_ки - _азви_ие,67
"_ода_ки - Се__и_ика__, __л_ги",68
_ода_ки - С_вени__,69
_ода_ки - С_вени__ (в наве_к_),70
"_ода_ки - С_мки, _л_бом_, _ов_ики д/м__и",71
_ода_ки - Фиг__ки,72
__ог_амм_ - 1С:__едп_и__ие 8,73
__ог_амм_ - MAC (Ци__а),74
__ог_амм_ - _л_ дома и о_и_а,75
__ог_амм_ - _л_ дома и о_и_а (Ци__а),76
__ог_амм_ - _б__а__ие,77
__ог_амм_ - _б__а__ие (Ци__а),78
Сл_жебн_е,79
Сл_жебн_е - _иле__,80
Чи___е но_и_ели (_пил_),81
Чи___е но_и_ели (____н_е),82
Элемен__ пи_ани_,83
